stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
2334,32334,Jacques-Cartier et Christophe-Colomb,45.6013463097107,-73.4345736251999,,,2
2336,32336,Samuel-De Champlain et Marco-Polo,45.6058471061311,-73.427869813384,,,2
2337,32337,Jacques-Cartier et De La Richardière,45.604370644421,-73.4285893797483,,,2
2338,32338,Samuel-De Champlain et des Découvreurs,45.606596853295,-73.4296078192134,,,2
2339,32339,Samuel-De Champlain et Louis-Fornel,45.6065238880961,-73.4329755150737,,,2
2340,32340,Samuel-De Champlain et De Verrazano,45.6047444355747,-73.4368447642619,,,2
2341,32341,Samuel-De Champlain et Christophe-Colomb,45.6042542225581,-73.4379401547177,,,2
2342,32342,Samuel-De Champlain et Albanel,45.6016383492015,-73.443229131108,,,2
2344,32344,Samuel-De Champlain et Hélène-Boullé,45.5983548016878,-73.4488293190208,,,2
2345,32345,Samuel-De Champlain et de Brouage,45.5982264099927,-73.4517135744228,,,2
2346,32346,Samuel-De Champlain et Monseigneur-Taché,45.5952176156776,-73.454251829382,,,2
2348,32348,Samuel-De Champlain et Monseigneur-Taché,45.5948925480635,-73.4541416625248,,,2
2349,32349,Samuel-De Champlain et du Père-Marquette,45.5960948698261,-73.4539310461066,,,2
2350,32350,Samuel-De Champlain et de Brouage,45.5979266175518,-73.4520010083534,,,2
2351,32351,Samuel-De Champlain et Hélène-Boullé,45.5982760881174,-73.4486383406716,,,2
2352,32352,Samuel-De Champlain et boul. De Montarville,45.5990357952956,-73.4472180145817,,,2
2355,32355,Samuel-De Champlain et Fraser,45.6017735980395,-73.4427087748648,,,2
2356,32356,Samuel-De Champlain et Christophe-Colomb,45.6040384333431,-73.438048112304,,,2
2357,32357,Samuel-De Champlain et Des Groseilliers,45.6048026566199,-73.4363623588603,,,2
2358,32358,Samuel-De Champlain et Louis-Fornel,45.6063618961312,-73.4329360466785,,,2
2359,32359,Samuel-De Champlain et place des Découvreurs,45.6065338176198,-73.4302885165377,,,2
2360,32360,Samuel-De Champlain et Marco-Polo,45.6059613645231,-73.4283276142117,,,2
2361,32361,Jacques-Cartier et De La Richardière,45.6046173134892,-73.4285252635009,,,2
2363,32363,Jacques-Cartier et Christophe-Colomb,45.6016974253926,-73.4343154303236,,,2
2364,32364,Jacques-Cartier et De Sérigny,45.5999206552051,-73.4363462569547,,,2
2365,32365,Jacques-Cartier et Charcot,45.5991560072361,-73.4371401424107,,,2
2366,32366,Jacques-Cartier et Marsolais,45.598374569928,-73.438517876129,,,2
2367,32367,Jacques-Cartier et D'Iberville,45.5969632792504,-73.4412532324293,,,2
2368,32368,Jacques-Cartier et boul. De Montarville,45.5961738631086,-73.4425493095665,,,2
2369,32369,boul. De Montarville et Victor-Bourgeau,45.5939284840154,-73.439981417542,,,1
2370,32370,boul. De Montarville et ECOLE SECONDAIRE DE MORTAGNE,45.5928541486268,-73.4385659604313,,,1
2375,32375,De La Salle et civique 363,45.5850968208109,-73.4370994741318,,,2
2376,32376,De La Salle et Émile-Nelligan,45.5861531985713,-73.4380991738384,,,2
2377,32377,De La Salle et Christophe-Février,45.5875764681365,-73.438228495444,,,2
2378,32378,De La Salle et boul. de Mortagne,45.589463178385,-73.4392925626985,,,2
2379,32379,boul. de Mortagne et Le Baron,45.5891162975466,-73.4403374576216,,,2
2381,32381,boul. de Mortagne et des Îles-Percées,45.5852894023818,-73.4445665998337,,,2
2383,32383,du Perche et de Tourouvre,45.580445907033,-73.4433218032348,,,2
2384,32384,du Perche et de Parfondeval,45.5777303530836,-73.4427662059048,,,2
2385,32385,du Perche et d'Igé,45.5760182343504,-73.4415705157072,,,2
2388,32388,boul. de Mortagne et de Parfondeval,45.5768906160534,-73.4464171116829,,,2
2389,32389,boul. Industriel et boul. de Mortagne,45.5789674297713,-73.4478910016871,,,2
2391,32391,boul. Industriel et De Lauzon,45.580115404567,-73.4529788015388,,,2
2392,32392,boul. Industriel et Louis-J.-Lafortune,45.5819396732859,-73.4553162223547,,,2
2393,32393,boul. Industriel et De Vaudreuil,45.5834473950689,-73.4572805987449,,,2
2394,32394,boul. Industriel et UNIPRO,45.5851834387853,-73.4594851347623,,,2
2396,32396,Calixa-Lavallée et Joseph-Lassonde,45.5830240735301,-73.4484562964765,,,2
2397,32397,Calixa-Lavallée et Louis-J.-Lafortune,45.5849953870161,-73.4512114820269,,,2
2398,32398,Louis-J.-Lafortune et Tailhandier,45.5864577493561,-73.4503615822431,,,2
2399,32399,Louis-J.-Lafortune et des Îles-Percées,45.5879722220751,-73.4493954160018,,,2
2400,32400,des Îles-Percées et De Jumonville,45.5888698291027,-73.4497053151413,,,2
2401,32401,des Îles-Percées et Jacques-Le Tessier,45.5901968269951,-73.4513799964149,,,2
2402,32402,des Îles-Percées et Claude-Dauzat,45.591367219946,-73.4528472888194,,,2
2403,32403,des Îles-Percées et De La Saudrays,45.5924917391568,-73.4542959027093,,,2
2404,32404,des Îles-Percées et De La Saudrays,45.5925331926142,-73.4545601697062,,,2
2405,32405,des Îles-Percées et Claude-Dauzat,45.5914348349645,-73.4531580353794,,,2
2406,32406,des Îles-Percées et Jacques-Le Tessier,45.5901923954117,-73.4515390036394,,,2
2408,32408,Louis-J.-Lafortune et Tailhandier,45.5868410254989,-73.4502952121553,,,2
